year,team,seed,opponent,win,win_margin,previous_tournament,tournament_two_years_back,win percent,wins_in_last_10,percent_of_wins_away,coach_tenure,total_seasons_coaching,coach_final_fours,coach_championships,coach_NBA_draft_picks,automatic_bid,RPI,Sagarin,SOS,Total_Games,ppg,ppg_allowed,Efficiency,Efficiency_Allowed,Rbs_Per_Game,Rbs_Per_Game_Allowed,Steals_Per_Game,Steals_Per_Game_Allowed,Blocks_Per_Game,FG_Percent,3_pt_percent,TS_percent,free_throw_rate,assists_per_game,freshmen_play_time,sophomore_play_time,junior_play_time,senior_play_time,year,opponent,opp_seed,opp_previous_tournament,opp_tournament two years back,opp_win_percent,opp_wins_in_last_10,opp_percent_of_wins_away,opp_coach_tenure,opp_total_seasons_coaching,opp_coach_final_fours,opp_coach_championships,opp_coach_NBA_draft_picks,opp_automatic_bid,opp_RPI,opp_Sagarin,opp_SOS,opp_Total_Games,opp_Points_Scored_Per_Game,opp_Points_Allowed_Per_Game,opp_Efficiency,opp_Efficiency_Allowed,opp_Rbs_Per_Game,opp_Rbs_Per_Game_Allowed,opp_Steals_Per_Game,opp_Steals_Per_Game_Allowed,opp_Blocks_Per_Game,opp_FG_percent,opp_3_pt_percent,opp_TS_percent,opp_free_throw_rate,opp_assists_per_game,opp_freshmen_play_time,opp_sophomore_play_time,opp_junior_play_time,opp_senior_play_time,Round
1986,Duke,1,miss valley,1,7,0,1,0.925,10,0.2702702703,6,11,0,0,6,1,,4,21,40,79.8,67.2,,,,,,,,,,,,,,,,,1986,Mississippi Valley St,16,0,0,0.6451612903,9,0.35,3,3,0,0,0,1,,181,266,31,72.8,68.1,,,,,,,,,,,,,,,,,1
1986,Kansas,1,unc a and t,1,25,0,1,0.8974358974,10,0.2571428571,3,5,0,0,9,1,,2,10,39,80.3,67.5,,,,,,,,,,,,,,,,,1986,North Carolina A&T,16,0,0,0.7333333333,10,0.3636363636,7,15,0,0,2,1,,213,279,30,62.7,57.8,,,,,,,,,,,,,,,,,1
1986,Kentucky,1,davidson,1,20,0,1,0.8888888889,10,0.34375,1,17,0,0,20,1,,7,23,36,74.1,61.4,,,,,,,,,,,,,,,,,1986,Davidson,16,0,0,0.6451612903,7,0.15,5,15,0,0,1,1,,134,197,31,67.7,64,,,,,,,,,,,,,,,,,1
1986,St John's,1,mont st,1,9,0,1,0.8611111111,9,0.2903225806,21,21,1,0,27,1,,16,47,36,77.1,66.2,,,,,,,,,,,,,,,,,1986,Montana St,16,0,0,0.4516129032,7,0.2142857143,3,3,0,0,0,1,,124,113,31,78,78.3,,,,,,,,,,,,,,,,,1
1986,Georgia Tech,2,marist,1,15,0,0,0.7941176471,7,0.3333333333,5,11,0,0,6,0,,6,2,34,73.8,63.7,,,,,,,,,,,,,,,,,1986,Marist,15,0,0,0.6129032258,9,0.3684210526,2,7,0,0,0,1,,208,254,31,66.4,64.6,,,,,,,,,,,,,,,,,1
1986,Louisville,2,drexel,1,20,0,1,0.8205128205,10,0.21875,15,15,2,0,22,1,,8,9,39,79.3,69.1,,,,,,,,,,,,,,,,,1986,Drexel,15,0,0,0.6129032258,9,0.3684210526,9,9,0,0,4,1,,210,249,31,74.9,73.8,,,,,,,,,,,,,,,,,1
1986,Michigan,2,akron,1,6,0,0,0.84375,8,0.2592592593,6,6,0,0,9,1,,3,15,32,76.7,64.4,,,,,,,,,,,,,,,,,1986,Akron,15,0,0,0.7333333333,8,0.3636363636,2,5,0,0,0,1,,130,196,30,72.7,68.8,,,,,,,,,,,,,,,,,1
1986,Syracuse,2,brown,1,49,0,1,0.8125,7,0.2692307692,10,10,0,0,11,0,,5,43,32,83.4,68.3,,,,,,,,,,,,,,,,,1986,Brown,15,0,0,0.5925925926,7,0.375,5,5,0,0,0,1,,215,222,27,72.4,74.6,,,,,,,,,,,,,,,,,1
1986,Indiana,3,clev st,0,-4,0,1,0.724137931,8,0.3333333333,15,21,0,1,27,0,,11,3,29,76.3,68,,,,,,,,,,,,,,,,,1986,Cleveland St,14,0,0,0.8787878788,10,0.4137931034,3,3,0,0,0,1,,27,182,33,87.1,70.9,,,,,,,,,,,,,,,,,1
1986,Memphis,3,ball st,1,32,0,1,0.8235294118,6,0.2857142857,7,15,1,0,9,0,,12,54,34,82.1,67.9,,,,,,,,,,,,,,,,,1986,Ball St,14,0,0,0.6774193548,7,0.380952381,4,4,0,0,1,1,,128,165,31,73,70.9,,,,,,,,,,,,,,,,,1
1986,Notre Dame,3,ark little rock,0,-7,0,0,0.7931034483,8,0.3043478261,15,16,0,0,22,1,,14,68,29,78.9,65.4,,,,,,,,,,,,,,,,,1986,Arkansas-Little Rock,14,0,0,0.6764705882,9,0.347826087,2,2,0,0,0,1,,121,210,34,79.8,73.5,,,,,,,,,,,,,,,,,1
1986,UNC,3,utah,1,12,0,1,0.8235294118,5,0.2142857143,25,25,2,1,55,0,,1,34,34,86.6,69,,,,,,,,,,,,,,,,,1986,Utah,14,0,0,0.6666666667,8,0.25,3,9,0,0,6,0,,81,106,30,72,69.4,,,,,,,,,,,,,,,,,1
1986,Georgetown,4,texas tech,1,6,0,1,0.75,6,0.375,14,14,3,1,15,0,,15,42,32,76.7,66,,,,,,,,,,,,,,,,,1986,Texas Tech,13,0,0,0.5483870968,7,0.4705882353,16,19,0,0,11,1,,89,60,31,62.1,63.4,,,,,,,,,,,,,,,,,1
1986,Illinois,4,fairfield,1,24,0,1,0.6875,7,0.3181818182,11,24,0,0,20,0,,9,19,32,72.7,61.8,,,,,,,,,,,,,,,,,1986,Fairfield,13,0,0,0.7741935484,9,0.5,1,1,0,0,0,1,,160,224,31,65.1,62.1,,,,,,,,,,,,,,,,,1
1986,Oklahoma,4,northeastern,1,6,0,1,0.7428571429,4,0.1923076923,6,12,0,0,8,0,,13,33,35,85.9,76.5,,,,,,,,,,,,,,,,,1986,Northeastern,13,0,1,0.8387096774,9,0.3846153846,14,14,0,0,7,1,,91,214,31,74.3,65.3,,,,,,,,,,,,,,,,,1
1986,UNLV,4,louisiana monroe,1,23,0,1,0.8684210526,8,0.4242424242,13,18,0,0,38,1,,23,66,38,78.6,68.2,,,,,,,,,,,,,,,,,1986,Louisiana-Monroe,13,0,0,0.6666666667,7,0.3,5,5,0,0,0,1,,75,154,30,71,65.2,,,,,,,,,,,,,,,,,1
1986,Alabama,5,xavier,1,17,0,1,0.7272727273,6,0.2916666667,6,6,0,0,7,0,,18,31,33,75,67.4,,,,,,,,,,,,,,,,,1986,Xavier,12,0,0,0.8333333333,9,0.4,1,1,0,0,0,1,,52,122,30,78.4,71,,,,,,,,,,,,,,,,,1
1986,Maryland,5,pepperdine,1,5,0,1,0.5757575758,7,0.3684210526,15,26,0,0,31,0,,21,4,33,69.5,65.5,,,,,,,,,,,,,,,,,1986,Pepperdine,12,0,0,0.8333333333,9,0.36,7,7,0,0,7,1,,51,157,30,77.8,68.2,,,,,,,,,,,,,,,,,1
1986,Michigan St,5,washington,1,2,0,0,0.7419354839,8,0.3043478261,10,15,0,0,14,0,,10,36,31,83.1,71.3,,,,,,,,,,,,,,,,,1986,Washington,12,0,1,0.6129032258,6,0.4736842105,1,7,0,0,3,0,,53,56,31,72.1,69,,,,,,,,,,,,,,,,,1
1986,Virginia,5,depaul,0,-4,0,1,0.6333333333,5,0.2105263158,12,17,2,0,20,0,,24,25,30,70.4,64.9,,,,,,,,,,,,,,,,,1986,DePaul,12,0,1,0.5806451613,4,0.2222222222,2,2,0,0,2,0,,38,38,31,69.5,66.1,,,,,,,,,,,,,,,,,1
1986,NC State,6,iowa,1,2,0,0,0.6176470588,4,0.1428571429,6,15,1,1,13,0,,17,11,34,70.3,63.8,,,,,,,,,,,,,,,,,1986,Iowa,11,0,0,0.625,5,0.4,3,14,0,0,14,0,,19,20,32,73,66.4,,,,,,,,,,,,,,,,,1
1986,Purdue,6,louisiana st,0,-7,0,1,0.6875,6,0.3636363636,6,8,0,0,6,0,,20,16,32,76.8,70.1,,,,,,,,,,,,,,,,,1986,LSU,11,0,1,0.6842105263,5,0.3846153846,14,14,1,0,16,0,,22,8,38,74.7,70.3,,,,,,,,,,,,,,,,,1
1986,St Joseph's,6,richmond,1,1,0,0,0.8125,9,0.2692307692,5,5,0,0,6,1,,59,123,32,69.4,62.7,,,,,,,,,,,,,,,,,1986,Richmond,11,0,1,0.7666666667,7,0.3913043478,5,5,0,0,5,0,,62,124,30,65.9,59.5,,,,,,,,,,,,,,,,,1
1986,UAB,6,missouri,1,2,0,1,0.6944444444,5,0.28,8,25,0,0,23,0,,30,45,36,67.6,60.5,,,,,,,,,,,,,,,,,1986,Missouri,11,0,0,0.6,4,0.1904761905,19,25,0,0,25,0,,33,32,35,73.1,69.3,,,,,,,,,,,,,,,,,1
